Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,,
268291,MALARIA_ACT_TREATED,COUNTRY,MLI,AFR,Africa,YEAR,2019,,,,,,,,,2 826 112,2826112,,,,2025-12-19T14:38:23Z,2019,01/01/2019,31/12/2019,,
278139,MALARIA_ACT_TREATED,COUNTRY,KEN,AFR,Africa,YEAR,2021,,,,,,,,,3 618 614,3618614,,,,2025-12-19T14:38:23Z,2021,01/01/2021,31/12/2021,,
298537,MALARIA_ACT_TREATED,COUNTRY,MOZ,AFR,Africa,YEAR,2024,,,,,,,,,11 527 048,11527048,,,,2025-12-19T14:38:23Z,2024,01/01/2024,31/12/2024,,
313891,MALARIA_ACT_TREATED,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2023,,,,,,,,,8807,8807,,,,2025-12-19T14:38:23Z,2023,01/01/2023,31/12/2023,,
417333,MALARIA_ACT_TREATED,COUNTRY,VNM,WPR,Western Pacific,YEAR,2024,,,,,,,,,201,201,,,,2025-12-19T14:38:23Z,2024,01/01/2024,31/12/2024,,
417899,MALARIA_ACT_TREATED,COUNTRY,TLS,SEAR,South-East Asia,YEAR,2020,,,,,,,,,14,14,,,,2025-12-19T14:38:23Z,2020,01/01/2020,31/12/2020,,
428676,MALARIA_ACT_TREATED,COUNTRY,SEN,AFR,Africa,YEAR,2019,,,,,,,,,339 598,339598,,,,2025-12-19T14:38:23Z,2019,01/01/2019,31/12/2019,,
436435,MALARIA_ACT_TREATED,COUNTRY,NAM,AFR,Africa,YEAR,2018,,,,,,,,,1721,1721,,,,2025-12-19T14:38:23Z,2018,01/01/2018,31/12/2018,,
520380,MALARIA_ACT_TREATED,COUNTRY,TGO,AFR,Africa,YEAR,2019,,,,,,,,,2 266 412,2266412,,,,2025-12-19T14:38:23Z,2019,01/01/2019,31/12/2019,,
525636,MALARIA_ACT_TREATED,COUNTRY,BDI,AFR,Africa,YEAR,2018,,,,,,,,,5 032 209,5032209,,,,2025-12-19T14:38:23Z,2018,01/01/2018,31/12/2018,,
604325,MALARIA_ACT_TREATED,COUNTRY,VEN,AMR,Americas,YEAR,2020,,,,,,,,,48 292,48292,,,,2025-12-19T14:38:23Z,2020,01/01/2020,31/12/2020,,
634898,MALARIA_ACT_TREATED,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2017,,,,,,,,,43,43,,,,2025-12-19T14:38:23Z,2017,01/01/2017,31/12/2017,,
667137,MALARIA_ACT_TREATED,COUNTRY,MOZ,AFR,Africa,YEAR,2022,,,,,,,,,12 281 121,12281121,,,,2025-12-19T14:38:23Z,2022,01/01/2022,31/12/2022,,
691098,MALARIA_ACT_TREATED,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2021,,,,,,,,,82 141,82141,,,,2025-12-19T14:38:23Z,2021,01/01/2021,31/12/2021,,
691410,MALARIA_ACT_TREATED,COUNTRY,NGA,AFR,Africa,YEAR,2019,,,,,,,,,21 252 650,21252650,,,,2025-12-19T14:38:23Z,2019,01/01/2019,31/12/2019,,
711923,MALARIA_ACT_TREATED,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2020,,,,,,,,,75 778,75778.36593,,,,2025-12-19T14:38:23Z,2020,01/01/2020,31/12/2020,,
727475,MALARIA_ACT_TREATED,COUNTRY,NAM,AFR,Africa,YEAR,2020,,,,,,,,,13 636,13636,,,,2025-12-19T14:38:23Z,2020,01/01/2020,31/12/2020,,
798214,MALARIA_ACT_TREATED,COUNTRY,GAB,AFR,Africa,YEAR,2020,,,,,,,,,30 819,30819,,,,2025-12-19T14:38:23Z,2020,01/01/2020,31/12/2020,,
812229,MALARIA_ACT_TREATED,COUNTRY,IND,SEAR,South-East Asia,YEAR,2023,,,,,,,,,10 244,10244,,,,2025-12-19T14:38:23Z,2023,01/01/2023,31/12/2023,,
818942,MALARIA_ACT_TREATED,COUNTRY,UGA,AFR,Africa,YEAR,2018,,,,,,,,,5 244 003,5244003,,,,2025-12-19T14:38:23Z,2018,01/01/2018,31/12/2018,,
828736,MALARIA_ACT_TREATED,COUNTRY,LBR,AFR,Africa,YEAR,2018,,,,,,,,,1 113 579,1113579,,,,2025-12-19T14:38:23Z,2018,01/01/2018,31/12/2018,,
881545,MALARIA_ACT_TREATED,COUNTRY,MYS,WPR,Western Pacific,YEAR,2022,,,,,,,,,2802,2802,,,,2025-12-19T14:38:23Z,2022,01/01/2022,31/12/2022,,
930188,MALARIA_ACT_TREATED,COUNTRY,THA,SEAR,South-East Asia,YEAR,2024,,,,,,,,,750,750,,,,2025-12-19T14:38:23Z,2024,01/01/2024,31/12/2024,,
947092,MALARIA_ACT_TREATED,COUNTRY,CPV,AFR,Africa,YEAR,2023,,,,,,,,,36,36,,,,2025-12-19T14:38:23Z,2023,01/01/2023,31/12/2023,,
973176,MALARIA_ACT_TREATED,COUNTRY,SSD,AFR,Africa,YEAR,2019,,,,,,,,,122 665,122665,,,,2025-12-19T14:38:23Z,2019,01/01/2019,31/12/2019,,
990322,MALARIA_ACT_TREATED,COUNTRY,BWA,AFR,Africa,YEAR,2021,,,,,,,,,519,519,,,,2025-12-19T14:38:23Z,2021,01/01/2021,31/12/2021,,
1011093,MALARIA_ACT_TREATED,COUNTRY,TGO,AFR,Africa,YEAR,2021,,,,,,,,,1 772 609,1772609,,,,2025-12-19T14:38:23Z,2021,01/01/2021,31/12/2021,,
1035287,MALARIA_ACT_TREATED,COUNTRY,TCD,AFR,Africa,YEAR,2021,,,,,,,,,1 012 958,1012958,,,,2025-12-19T14:38:23Z,2021,01/01/2021,31/12/2021,,
1068252,MALARIA_ACT_TREATED,COUNTRY,KEN,AFR,Africa,YEAR,2018,,,,,,,,,6 115 406,6115406,,,,2025-12-19T14:38:23Z,2018,01/01/2018,31/12/2018,,
1085297,MALARIA_ACT_TREATED,COUNTRY,AGO,AFR,Africa,YEAR,2019,,,,,,,,,5 575 259,5575259,,,,2025-12-19T14:38:23Z,2019,01/01/2019,31/12/2019,,
1093227,MALARIA_ACT_TREATED,COUNTRY,KEN,AFR,Africa,YEAR,2023,,,,,,,,,5 005 921,5005921,,,,2025-12-19T14:38:23Z,2023,01/01/2023,31/12/2023,,
1119296,MALARIA_ACT_TREATED,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2020,,,,,,,,,4 733 626,4733626,,,,2025-12-19T14:38:23Z,2020,01/01/2020,31/12/2020,,
1144281,MALARIA_ACT_TREATED,COUNTRY,NER,AFR,Africa,YEAR,2023,,,,,,,,,3 930 358,3930358,,,,2025-12-19T14:38:23Z,2023,01/01/2023,31/12/2023,,
1151457,MALARIA_ACT_TREATED,COUNTRY,MWI,AFR,Africa,YEAR,2022,,,,,,,,,4 257 729,4257729,,,,2025-12-19T14:38:23Z,2022,01/01/2022,31/12/2022,,
1184535,MALARIA_ACT_TREATED,COUNTRY,SSD,AFR,Africa,YEAR,2022,,,,,,,,,401 196,401196,,,,2025-12-19T14:38:23Z,2022,01/01/2022,31/12/2022,,
1194360,MALARIA_ACT_TREATED,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,85 486,85485.88886,,,,2025-12-19T14:38:23Z,2022,01/01/2022,31/12/2022,,
1211398,MALARIA_ACT_TREATED,COUNTRY,MEX,AMR,Americas,YEAR,2020,,,,,,,,,0,0,,,,2025-12-19T14:38:23Z,2020,01/01/2020,31/12/2020,,
1227445,MALARIA_ACT_TREATED,COUNTRY,AGO,AFR,Africa,YEAR,2021,,,,,,,,,7 793 251,7793251,,,,2025-12-19T14:38:23Z,2021,01/01/2021,31/12/2021,,
1267976,MALARIA_ACT_TREATED,COUNTRY,DJI,EMR,Eastern Mediterranean,YEAR,2020,,,,,,,,,69 029,69029,,,,2025-12-19T14:38:23Z,2020,01/01/2020,31/12/2020,,
1277959,MALARIA_ACT_TREATED,COUNTRY,ZMB,AFR,Africa,YEAR,2023,,,,,,,,,7 828 398,7828398.032,,,,2025-12-19T14:38:23Z,2023,01/01/2023,31/12/2023,,
1289201,MALARIA_ACT_TREATED,COUNTRY,UGA,AFR,Africa,YEAR,2024,,,,,,,,,12 447 628,12447628,,,,2025-12-19T14:38:23Z,2024,01/01/2024,31/12/2024,,
1362716,MALARIA_ACT_TREATED,COUNTRY,SWZ,AFR,Africa,YEAR,2021,,,,,,,,,474,474,,,,2025-12-19T14:38:23Z,2021,01/01/2021,31/12/2021,,
1384355,MALARIA_ACT_TREATED,COUNTRY,BOL,AMR,Americas,YEAR,2019,,,,,,,,,9357,9357,,,,2025-12-19T14:38:23Z,2019,01/01/2019,31/12/2019,,
1413567,MALARIA_ACT_TREATED,COUNTRY,ZAF,AFR,Africa,YEAR,2022,,,,,,,,,7176,7176,,,,2025-12-19T14:38:23Z,2022,01/01/2022,31/12/2022,,
1424754,MALARIA_ACT_TREATED,COUNTRY,BLZ,AMR,Americas,YEAR,2021,,,,,,,,,0,0,,,,2025-12-19T14:38:23Z,2021,01/01/2021,31/12/2021,,
1447633,MALARIA_ACT_TREATED,COUNTRY,BDI,AFR,Africa,YEAR,2024,,,,,,,,,5 914 861,5914861,,,,2025-12-19T14:38:23Z,2024,01/01/2024,31/12/2024,,
1449014,MALARIA_ACT_TREATED,COUNTRY,COD,AFR,Africa,YEAR,2019,,,,,,,,,18 853 209,18853209,,,,2025-12-19T14:38:23Z,2019,01/01/2019,31/12/2019,,
1456574,MALARIA_ACT_TREATED,COUNTRY,BFA,AFR,Africa,YEAR,2023,,,,,,,,,9 886 094,9886094,,,,2025-12-19T14:38:23Z,2023,01/01/2023,31/12/2023,,
1463231,MALARIA_ACT_TREATED,COUNTRY,GAB,AFR,Africa,YEAR,2018,,,,,,,,,208 953,208953,,,,2025-12-19T14:38:23Z,2018,01/01/2018,31/12/2018,,
1484559,MALARIA_ACT_TREATED,COUNTRY,CMR,AFR,Africa,YEAR,2023,,,,,,,,,2 240 309,2240309,,,,2025-12-19T14:38:23Z,2023,01/01/2023,31/12/2023,,
1550273,MALARIA_ACT_TREATED,COUNTRY,UGA,AFR,Africa,YEAR,2019,,,,,,,,,9 728 920,9728920,,,,2025-12-19T14:38:23Z,2019,01/01/2019,31/12/2019,,
1560216,MALARIA_ACT_TREATED,COUNTRY,SLB,WPR,Western Pacific,YEAR,2024,,,,,,,,,128 779,128779,,,,2025-12-19T14:38:23Z,2024,01/01/2024,31/12/2024,,
1561981,MALARIA_ACT_TREATED,COUNTRY,GMB,AFR,Africa,YEAR,2022,,,,,,,,,110 988,110988,,,,2025-12-19T14:38:23Z,2022,01/01/2022,31/12/2022,,
1563178,MALARIA_ACT_TREATED,COUNTRY,DJI,EMR,Eastern Mediterranean,YEAR,2021,,,,,,,,,56 081,56081,,,,2025-12-19T14:38:23Z,2021,01/01/2021,31/12/2021,,
1591880,MALARIA_ACT_TREATED,COUNTRY,MOZ,AFR,Africa,YEAR,2020,,,,,,,,,11 132 323,11132323,,,,2025-12-19T14:38:23Z,2020,01/01/2020,31/12/2020,,
1617614,MALARIA_ACT_TREATED,COUNTRY,LBR,AFR,Africa,YEAR,2024,,,,,,,,,899 625,899625,,,,2025-12-19T14:38:23Z,2024,01/01/2024,31/12/2024,,
1619051,MALARIA_ACT_TREATED,COUNTRY,ECU,AMR,Americas,YEAR,2020,,,,,,,,,243,243,,,,2025-12-19T14:38:23Z,2020,01/01/2020,31/12/2020,,
1622210,MALARIA_ACT_TREATED,COUNTRY,NPL,SEAR,South-East Asia,YEAR,2019,,,,,,,,,63,63,,,,2025-12-19T14:38:23Z,2019,01/01/2019,31/12/2019,,
1624011,MALARIA_ACT_TREATED,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2018,,,,,,,,,17,17,,,,2025-12-19T14:38:23Z,2018,01/01/2018,31/12/2018,,
1638611,MALARIA_ACT_TREATED,COUNTRY,GHA,AFR,Africa,YEAR,2022,,,,,,,,,5 142 790,5142790,,,,2025-12-19T14:38:23Z,2022,01/01/2022,31/12/2022,,
1645177,MALARIA_ACT_TREATED,COUNTRY,ZAF,AFR,Africa,YEAR,2021,,,,,,,,,5889,5889,,,,2025-12-19T14:38:23Z,2021,01/01/2021,31/12/2021,,
1662539,MALARIA_ACT_TREATED,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2019,,,,,,,,,90 178,90178,,,,2025-12-19T14:38:23Z,2019,01/01/2019,31/12/2019,,
1668047,MALARIA_ACT_TREATED,COUNTRY,GAB,AFR,Africa,YEAR,2021,,,,,,,,,103 866,103866,,,,2025-12-19T14:38:23Z,2021,01/01/2021,31/12/2021,,
