Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,,
9719864,MALARIA_EST_INCIDENCE,COUNTRY,CHN,WPR,Western Pacific,YEAR,2020,,,,,,,,,0 [0-0],0,0,0,,2025-12-19T14:24:05Z,2020,01/01/2020,31/12/2020,,
9726311,MALARIA_EST_INCIDENCE,COUNTRY,GEO,EUR,Europe,YEAR,2016,,,,,,,,,0 [0-0],0,0,0,,2025-12-19T14:24:05Z,2016,01/01/2016,31/12/2016,,
9729478,MALARIA_EST_INCIDENCE,COUNTRY,KOR,WPR,Western Pacific,YEAR,2011,,,,,,,,,0.15 [0.15-0.15],0.146847789,0.146847789,0.146847789,,2025-12-19T14:24:05Z,2011,01/01/2011,31/12/2011,,
9732399,MALARIA_EST_INCIDENCE,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2007,,,,,,,,,20.63 [20.63-20.63],20.62773322,20.62773322,20.62773322,,2025-12-19T14:24:05Z,2007,01/01/2007,31/12/2007,,
9739629,MALARIA_EST_INCIDENCE,COUNTRY,MMR,SEAR,South-East Asia,YEAR,2017,,,,,,,,,2.67 [2.16-3.20],2.670778958,2.163803714,3.202347021,,2025-12-19T14:24:05Z,2017,01/01/2017,31/12/2017,,
9745078,MALARIA_EST_INCIDENCE,COUNTRY,COD,AFR,Africa,YEAR,2021,,,,,,,,,338.04 [259.47-435.74],338.0367627,259.4746485,435.7402049,,2025-12-19T14:24:05Z,2021,01/01/2021,31/12/2021,,
9747871,MALARIA_EST_INCIDENCE,COUNTRY,GMB,AFR,Africa,YEAR,2004,,,,,,,,,277.25 [204.40-360.19],277.24724,204.4023633,360.186895,,2025-12-19T14:24:05Z,2004,01/01/2004,31/12/2004,,
9752102,MALARIA_EST_INCIDENCE,COUNTRY,PRY,AMR,Americas,YEAR,2023,,,,,,,,,0 [0-0],0,0,0,,2025-12-19T14:24:05Z,2023,01/01/2023,31/12/2023,,
9754566,MALARIA_EST_INCIDENCE,COUNTRY,AGO,AFR,Africa,YEAR,2016,,,,,,,,,189.78 [146.79-240.67],189.7796222,146.7869008,240.669909,,2025-12-19T14:24:05Z,2016,01/01/2016,31/12/2016,,
9758579,MALARIA_EST_INCIDENCE,COUNTRY,SUR,AMR,Americas,YEAR,2018,,,,,,,,,0.34 [0.34-0.34],0.338803122,0.338803122,0.338803122,,2025-12-19T14:24:05Z,2018,01/01/2018,31/12/2018,,
9777663,MALARIA_EST_INCIDENCE,REGION,EUR,,,YEAR,2011,,,,,,,,,0 [0-0],0.002126984,0.002126984,0.002126984,,2025-12-19T14:24:05Z,2011,01/01/2011,31/12/2011,,
9778110,MALARIA_EST_INCIDENCE,COUNTRY,SAU,EMR,Eastern Mediterranean,YEAR,2024,,,,,,,,,0 [0-0],0,0,0,,2025-12-19T14:24:05Z,2024,01/01/2024,31/12/2024,,
9789573,MALARIA_EST_INCIDENCE,COUNTRY,VUT,WPR,Western Pacific,YEAR,2023,,,,,,,,,17.94 [10.73-28.33],17.93962698,10.73303413,28.32677399,,2025-12-19T14:24:05Z,2023,01/01/2023,31/12/2023,,
9813277,MALARIA_EST_INCIDENCE,COUNTRY,BLZ,AMR,Americas,YEAR,2013,,,,,,,,,0.08 [0.08-0.08],0.084845708,0.084845708,0.084845708,,2025-12-19T14:24:05Z,2013,01/01/2013,31/12/2013,,
9813735,MALARIA_EST_INCIDENCE,COUNTRY,ZWE,AFR,Africa,YEAR,2015,,,,,,,,,94.12 [64.15-128.16],94.11756094,64.14672613,128.1554781,,2025-12-19T14:24:05Z,2015,01/01/2015,31/12/2015,,
9817829,MALARIA_EST_INCIDENCE,COUNTRY,VEN,AMR,Americas,YEAR,2021,,,,,,,,,14.48 [12.87-16.73],14.47873501,12.87400099,16.72590517,,2025-12-19T14:24:05Z,2021,01/01/2021,31/12/2021,,
9818957,MALARIA_EST_INCIDENCE,COUNTRY,ARM,EUR,Europe,YEAR,2003,,,,,,,,,0.01 [0.01-0.01],0.009542713,0.009542713,0.009542713,,2025-12-19T14:24:05Z,2003,01/01/2003,31/12/2003,,
9826537,MALARIA_EST_INCIDENCE,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2001,,,,,,,,,14.76 [14.76-14.76],14.75616132,14.75616132,14.75616132,,2025-12-19T14:24:05Z,2001,01/01/2001,31/12/2001,,
9831211,MALARIA_EST_INCIDENCE,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2011,,,,,,,,,44.65 [27.75-73.00],44.65442027,27.74800473,73.00256817,,2025-12-19T14:24:05Z,2011,01/01/2011,31/12/2011,,
9831272,MALARIA_EST_INCIDENCE,COUNTRY,SSD,AFR,Africa,YEAR,2004,,,,,,,,,315.50 [212.09-454.09],315.4955156,212.0908377,454.087876,,2025-12-19T14:24:05Z,2004,01/01/2004,31/12/2004,,
9833022,MALARIA_EST_INCIDENCE,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2023,,,,,,,,,0 [0-0],0,0,0,,2025-12-19T14:24:05Z,2023,01/01/2023,31/12/2023,,
9833641,MALARIA_EST_INCIDENCE,COUNTRY,SSD,AFR,Africa,YEAR,2022,,,,,,,,,274.78 [177.23-408.65],274.7837187,177.22787,408.6503397,,2025-12-19T14:24:05Z,2022,01/01/2022,31/12/2022,,
9838225,MALARIA_EST_INCIDENCE,COUNTRY,DJI,EMR,Eastern Mediterranean,YEAR,2002,,,,,,,,,3.07 [2.37-3.78],3.07232793,2.366681417,3.776298323,,2025-12-19T14:24:05Z,2002,01/01/2002,31/12/2002,,
9840577,MALARIA_EST_INCIDENCE,COUNTRY,TKM,EUR,Europe,YEAR,2017,,,,,,,,,0 [0-0],0,0,0,,2025-12-19T14:24:05Z,2017,01/01/2017,31/12/2017,,
9843820,MALARIA_EST_INCIDENCE,REGION,AMR,,,YEAR,2022,,,,,,,,,3.45 [3.21-3.72],3.454793884,3.213775614,3.715067613,,2025-12-19T14:24:05Z,2022,01/01/2022,31/12/2022,,
9849502,MALARIA_EST_INCIDENCE,COUNTRY,IDN,WPR,Western Pacific,YEAR,2002,,,,,,,,,5.28 [4.37-6.48],5.283880194,4.36654159,6.484464673,,2025-12-19T14:24:05Z,2002,01/01/2002,31/12/2002,,
9858441,MALARIA_EST_INCIDENCE,COUNTRY,NGA,AFR,Africa,YEAR,2013,,,,,,,,,297.83 [239.60-366.29],297.8264948,239.5965318,366.2851341,,2025-12-19T14:24:05Z,2013,01/01/2013,31/12/2013,,
9859303,MALARIA_EST_INCIDENCE,COUNTRY,HTI,AMR,Americas,YEAR,2002,,,,,,,,,9.71 [5.57-15.67],9.71374358,5.567447978,15.67110147,,2025-12-19T14:24:05Z,2002,01/01/2002,31/12/2002,,
9862980,MALARIA_EST_INCIDENCE,COUNTRY,BWA,AFR,Africa,YEAR,2008,,,,,,,,,1.90 [0.92-3.77],1.900539221,0.920489081,3.767101566,,2025-12-19T14:24:05Z,2008,01/01/2008,31/12/2008,,
9863158,MALARIA_EST_INCIDENCE,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2009,,,,,,,,,5.32 [2.30-11.97],5.315151617,2.297244767,11.97090695,,2025-12-19T14:24:05Z,2009,01/01/2009,31/12/2009,,
9864664,MALARIA_EST_INCIDENCE,COUNTRY,MLI,AFR,Africa,YEAR,2009,,,,,,,,,364.79 [252.99-503.65],364.7853746,252.9895988,503.6498714,,2025-12-19T14:24:05Z,2009,01/01/2009,31/12/2009,,
9875460,MALARIA_EST_INCIDENCE,COUNTRY,ZMB,AFR,Africa,YEAR,2018,,,,,,,,,222.00 [175.56-275.55],221.9995372,175.5618959,275.5452367,,2025-12-19T14:24:05Z,2018,01/01/2018,31/12/2018,,
9878155,MALARIA_EST_INCIDENCE,COUNTRY,GHA,AFR,Africa,YEAR,2013,,,,,,,,,344.33 [280.49-420.26],344.3307489,280.4884493,420.2636214,,2025-12-19T14:24:05Z,2013,01/01/2013,31/12/2013,,
9881587,MALARIA_EST_INCIDENCE,COUNTRY,NPL,SEAR,South-East Asia,YEAR,2003,,,,,,,,,9.77 [4.06-20.05],9.765713226,4.063284519,20.05075608,,2025-12-19T14:24:05Z,2003,01/01/2003,31/12/2003,,
9881787,MALARIA_EST_INCIDENCE,COUNTRY,TCD,AFR,Africa,YEAR,2011,,,,,,,,,228.36 [180.78-285.15],228.3630494,180.7821778,285.1462732,,2025-12-19T14:24:05Z,2011,01/01/2011,31/12/2011,,
9896071,MALARIA_EST_INCIDENCE,COUNTRY,PNG,WPR,Western Pacific,YEAR,2002,,,,,,,,,208.62 [61.81-377.76],208.6163697,61.80707116,377.7554805,,2025-12-19T14:24:05Z,2002,01/01/2002,31/12/2002,,
9900999,MALARIA_EST_INCIDENCE,COUNTRY,COM,AFR,Africa,YEAR,2007,,,,,,,,,57.75 [38.71-77.63],57.75084856,38.71452978,77.62843518,,2025-12-19T14:24:05Z,2007,01/01/2007,31/12/2007,,
9901567,MALARIA_EST_INCIDENCE,COUNTRY,UZB,EUR,Europe,YEAR,2005,,,,,,,,,3.87 [3.87-3.87],3.870086508,3.870086508,3.870086508,,2025-12-19T14:24:05Z,2005,01/01/2005,31/12/2005,,
9908130,MALARIA_EST_INCIDENCE,COUNTRY,BLZ,AMR,Americas,YEAR,2020,,,,,,,,,0 [0-0],0,0,0,,2025-12-19T14:24:05Z,2020,01/01/2020,31/12/2020,,
9908332,MALARIA_EST_INCIDENCE,COUNTRY,STP,AFR,Africa,YEAR,2000,,,,,,,,,222.02 [222.02-222.02],222.0208585,222.0208585,222.0208585,,2025-12-19T14:24:05Z,2000,01/01/2000,31/12/2000,,
9908962,MALARIA_EST_INCIDENCE,COUNTRY,IRQ,EMR,Eastern Mediterranean,YEAR,2013,,,,,,,,,0 [0-0],0,0,0,,2025-12-19T14:24:05Z,2013,01/01/2013,31/12/2013,,
9913017,MALARIA_EST_INCIDENCE,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2011,,,,,,,,,32.03 [24.42-41.20],32.03359659,24.41749639,41.19503588,,2025-12-19T14:24:05Z,2011,01/01/2011,31/12/2011,,
