Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,,,
8281499,MALARIA_IRS_COVERAGE,COUNTRY,HTI,AMR,Americas,YEAR,2018,,,,,,,,,42 130,42130,,,,2025-12-19T14:55:21Z,2018,01/01/2018,31/12/2018,,,
3888852,MALARIA_IRS_COVERAGE,COUNTRY,ECU,AMR,Americas,YEAR,2023,,,,,,,,,28 365,28365,,,,2025-12-19T14:55:21Z,2023,01/01/2023,31/12/2023,,,
121748,MALARIA_IRS_COVERAGE,COUNTRY,MLI,AFR,Africa,YEAR,2022,,,,,,,,,273 864,273864,,,,2025-12-19T14:55:21Z,2022,01/01/2022,31/12/2022,,,
6358686,MALARIA_IRS_COVERAGE,COUNTRY,ZAF,AFR,Africa,YEAR,2022,,,,,,,,,1 621 439,1621439,,,,2025-12-19T14:55:21Z,2022,01/01/2022,31/12/2022,,,
1873305,MALARIA_IRS_COVERAGE,COUNTRY,ZMB,AFR,Africa,YEAR,2020,,,,,,,,,11 157 421,11157421,,,,2025-12-19T14:55:21Z,2020,01/01/2020,31/12/2020,,,
3933255,MALARIA_IRS_COVERAGE,COUNTRY,GHA,AFR,Africa,YEAR,2023,,,,,,,,,2 393 545,2393545,,,,2025-12-19T14:55:21Z,2023,01/01/2023,31/12/2023,,,
10088501,MALARIA_IRS_COVERAGE,COUNTRY,SAU,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,307 927,307927,,,,2025-12-19T14:55:21Z,2016,01/01/2016,31/12/2016,,,
419185,MALARIA_IRS_COVERAGE,COUNTRY,CRI,AMR,Americas,YEAR,2017,,,,,,,,,8479,8479,,,,2025-12-19T14:55:21Z,2017,01/01/2017,31/12/2017,,,
7939374,MALARIA_IRS_COVERAGE,REGION,SEAR,,,YEAR,2015,,,,,,,,,44 021 372,44021372,,,,2025-12-19T14:55:21Z,2015,01/01/2015,31/12/2015,,,
4997940,MALARIA_IRS_COVERAGE,COUNTRY,GHA,AFR,Africa,YEAR,2022,,,,,,,,,2 232 692,2232692,,,,2025-12-19T14:55:21Z,2022,01/01/2022,31/12/2022,,,
