Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,,,
5891035,MALARIA_ITN_COVERAGE,COUNTRY,GAB,AFR,Africa,YEAR,2015,,,,,,,,,20.12,20.1172669,,,,2025-12-19T14:59:35Z,2015,01/01/2015,31/12/2015,,,
3390311,MALARIA_ITN_COVERAGE,COUNTRY,CMR,AFR,Africa,YEAR,2018,,,,,,,,,62.85,62.845134,,,,2025-12-19T14:59:35Z,2018,01/01/2018,31/12/2018,,,
5945091,MALARIA_ITN_COVERAGE,COUNTRY,SOM,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,16.92,16.924662,,,,2025-12-19T14:59:35Z,2016,01/01/2016,31/12/2016,,,
8680308,MALARIA_ITN_COVERAGE,COUNTRY,KEN,AFR,Africa,YEAR,2021,,,,,,,,,60.4,60.3994007,,,,2025-12-19T14:59:35Z,2021,01/01/2021,31/12/2021,,,
8186992,MALARIA_ITN_COVERAGE,COUNTRY,ERI,AFR,Africa,YEAR,2023,,,,,,,,,41.28,41.2759958,,,,2025-12-19T14:59:35Z,2023,01/01/2023,31/12/2023,,,
635329,MALARIA_ITN_COVERAGE,COUNTRY,GNQ,AFR,Africa,YEAR,2015,,,,,,,,,29.65,29.6489778,,,,2025-12-19T14:59:35Z,2015,01/01/2015,31/12/2015,,,
4300912,MALARIA_ITN_COVERAGE,COUNTRY,MRT,AFR,Africa,YEAR,2023,,,,,,,,,39.28,39.2775982,,,,2025-12-19T14:59:35Z,2023,01/01/2023,31/12/2023,,,
4161864,MALARIA_ITN_COVERAGE,COUNTRY,RWA,AFR,Africa,YEAR,2020,,,,,,,,,60.91,60.9124877,,,,2025-12-19T14:59:35Z,2020,01/01/2020,31/12/2020,,,
9192697,MALARIA_ITN_COVERAGE,COUNTRY,MWI,AFR,Africa,YEAR,2019,,,,,,,,,71.82,71.8197842,,,,2025-12-19T14:59:35Z,2019,01/01/2019,31/12/2019,,,
3067709,MALARIA_ITN_COVERAGE,COUNTRY,GHA,AFR,Africa,YEAR,2017,,,,,,,,,64.04,64.0377978,,,,2025-12-19T14:59:35Z,2017,01/01/2017,31/12/2017,,,
3105791,MALARIA_ITN_COVERAGE,COUNTRY,SEN,AFR,Africa,YEAR,2021,,,,,,,,,48.4,48.3951246,,,,2025-12-19T14:59:35Z,2021,01/01/2021,31/12/2021,,,
9518249,MALARIA_ITN_COVERAGE,COUNTRY,AGO,AFR,Africa,YEAR,2019,,,,,,,,,42.12,42.1165964,,,,2025-12-19T14:59:35Z,2019,01/01/2019,31/12/2019,,,
3516853,MALARIA_ITN_COVERAGE,COUNTRY,CMR,AFR,Africa,YEAR,2017,,,,,,,,,71.32,71.3248096,,,,2025-12-19T14:59:35Z,2017,01/01/2017,31/12/2017,,,
7067361,MALARIA_ITN_COVERAGE,COUNTRY,UGA,AFR,Africa,YEAR,2023,,,,,,,,,76.22,76.2225617,,,,2025-12-19T14:59:35Z,2023,01/01/2023,31/12/2023,,,
7200369,MALARIA_ITN_COVERAGE,COUNTRY,UGA,AFR,Africa,YEAR,2024,,,,,,,,,79.79,79.7948388,,,,2025-12-19T14:59:35Z,2024,01/01/2024,31/12/2024,,,
9338610,MALARIA_ITN_COVERAGE,COUNTRY,TGO,AFR,Africa,YEAR,2022,,,,,,,,,57.62,57.6186933,,,,2025-12-19T14:59:35Z,2022,01/01/2022,31/12/2022,,,
4909823,MALARIA_ITN_COVERAGE,COUNTRY,CMR,AFR,Africa,YEAR,2015,,,,,,,,,55.63,55.6302698,,,,2025-12-19T14:59:35Z,2015,01/01/2015,31/12/2015,,,
